2014
Ireland,IRL,34066.43,0.0009426686960933537
"Iran, Islamic Rep.",IRN,649480.705,0.017972095383054287
Iraq,IRQ,168443.645,0.0046610857432775234
Iceland,ISL,1983.847,5.4895991882293255e-05
Israel,ISR,64601.539,0.0017876204972095383
Italy,ITA,320411.459,0.008866260781329273
Jamaica,JAM,7422.008,0.00020537798072044647
Jordan,JOR,26450.071,0.0007319127346524606
Japan,JPN,1214048.358,0.033594520547945206
Kazakhstan,KAZ,248314.572,0.006871232876712328
Kenya,KEN,14286.632,0.00039533231861998985
Kyrgyz Republic,KGZ,9607.54,0.0002658548959918823
Cambodia,KHM,6684.941,0.00018498224251648908
Kiribati,KIR,62.339,1.7250126839167935e-06
St. Kitts and Nevis,KNA,231.021,6.39269406392694e-06
"Korea, Rep.",KOR,587156.373,0.016247488584474886
Kuwait,KWT,95408.006,0.002640081177067478
Latin America & Caribbean (excluding high income),LAC,1530022.747,0.04233800101471334
Lao PDR,LAO,1954.511,5.408422120750888e-05
Lebanon,LBN,24070.188,0.0006660578386605783
Liberia,LBR,935.085,2.5875190258751904e-05
Libya,LBY,56996.181,0.0015771689497716894
St. Lucia,LCA,407.037,1.126331811263318e-05
Latin America & Caribbean,LCN,1912531.50401786,0.05292258622726175
Least developed countries: UN classification,LDC,293488.705753082,0.0081212682271193
Low income,LIC,217546.923706113,0.006019846368086172
Liechtenstein,LIE,44.004,1.21765601217656e-06
Sri Lanka,LKA,18393.672,0.0005089802130898021
Lower middle income,LMC,4197373.86275,0.11614756656963661
Low & middle income,LMY,21009991.6718536,0.5813776628263793
Lesotho,LSO,2467.891,6.829020801623542e-05
Late-demographic dividend,LTE,15089660.8763876,0.4175533198763472
Lithuania,LTU,12838.167,0.0003552511415525114
Luxembourg,LUX,9658.878,0.00026727549467275494
Latvia,LVA,6974.634,0.00019299847792998478
"Macao SAR, China",MAC,1283.45,3.551496702181634e-05
St. Martin (French part),MAF,,0
Morocco,MAR,59863.775,0.001656519533231862
Monaco,MCO,,0
Moldova,MDA,4932.115,0.00013647894469812278
Madagascar,MDG,3076.613,8.513444951801115e-05
Maldives,MDV,1334.788,3.693556570268899e-05
Middle East & North Africa,MEA,2593273.8930243,0.07175973882059705
Mexico,MEX,480270.657,0.013289802130898021
Marshall Islands,MHL,102.676,2.841197361745307e-06
Middle income,MIC,20786783.3207388,0.5752011563564458
"Macedonia, FYR",MKD,7510.016,0.0002078132927447996
Mali,MLI,1411.795,3.906646372399797e-05
Malta,MLT,2346.88,6.494165398274987e-05
Myanmar,MMR,21631.633,0.0005985794013191274
Middle East & North Africa (excluding high income),MNA,1418044.77855581,0.0392394043756036
